inspection_date,vendor_name,inspection_result,source_file
2026-01-15,Acme Inspections,Pass,incoming_data_01.csv
2026-02-03,SafeCheck Co,Fail,incoming_data_01.csv
2026-02-28,Verified Ltd,Pass,incoming_data_01.csv
2026-03-10,TrustScan Inc,Pass,incoming_data_01.csv
2026-04-01,ProInspect LLC,Fail,incoming_data_01.csv
2026-01-15,Acme Inspections,Pass,incoming_data_02.csv
2026-02-03,SafeCheck Co,Fail,incoming_data_02.csv
2026-02-28,Verified Ltd,Pass,incoming_data_02.csv
2026-03-10,TrustScan Inc,Pass,incoming_data_02.csv
2026-04-01,ProInspect LLC,Fail,incoming_data_02.csv
2026-01-15,Acme Inspections,Pass,incoming_data_03.csv
2026-02-03,SafeCheck Co,Fail,incoming_data_03.csv
2026-02-28,Verified Ltd,Pass,incoming_data_03.csv
2026-03-10,TrustScan Inc,Pass,incoming_data_03.csv
2026-04-01,ProInspect LLC,Fail,incoming_data_03.csv
2026-01-15,Acme Inspections,Pass,incoming_data_04.csv
2026-02-03,SafeCheck Co,Fail,incoming_data_04.csv
2026-02-28,Verified Ltd,Pass,incoming_data_04.csv
2026-03-10,TrustScan Inc,Pass,incoming_data_04.csv
2026-04-01,ProInspect LLC,Fail,incoming_data_04.csv
2026-01-15,Acme Inspections,Pass,incoming_data_05.csv
2026-02-03,SafeCheck Co,Fail,incoming_data_05.csv
2026-02-28,Verified Ltd,Pass,incoming_data_05.csv
2026-03-10,TrustScan Inc,Pass,incoming_data_05.csv
2026-04-01,ProInspect LLC,Fail,incoming_data_05.csv
2026-01-15,Acme Inspections,Pass,incoming_data_06.csv
2026-02-03,SafeCheck Co,Fail,incoming_data_06.csv
2026-02-28,Verified Ltd,Pass,incoming_data_06.csv
2026-03-10,TrustScan Inc,Pass,incoming_data_06.csv
2026-04-01,ProInspect LLC,Fail,incoming_data_06.csv
2026-01-15,Acme Inspections,Pass,incoming_data_07.csv
2026-02-03,SafeCheck Co,Fail,incoming_data_07.csv
2026-02-28,Verified Ltd,Pass,incoming_data_07.csv
2026-03-10,TrustScan Inc,Pass,incoming_data_07.csv
2026-04-01,ProInspect LLC,Fail,incoming_data_07.csv
2026-01-15,Acme Inspections,Pass,incoming_data_08.csv
2026-02-03,SafeCheck Co,Fail,incoming_data_08.csv
2026-02-28,Verified Ltd,Pass,incoming_data_08.csv
2026-03-10,TrustScan Inc,Pass,incoming_data_08.csv
2026-04-01,ProInspect LLC,Fail,incoming_data_08.csv
2026-01-15,Acme Inspections,Pass,incoming_data_09.csv
2026-02-03,SafeCheck Co,Fail,incoming_data_09.csv
2026-02-28,Verified Ltd,Pass,incoming_data_09.csv
2026-03-10,TrustScan Inc,Pass,incoming_data_09.csv
2026-04-01,ProInspect LLC,Fail,incoming_data_09.csv
